dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.307347,3.352994,0.000789,0.078947,3.947368,197.368421,6.281511
0.020000,1.306622,3.352995,0.001514,0.036227,-2.136015,-304.169159,6.282144
0.020000,1.306291,3.352996,0.001845,0.016549,-0.983890,57.606247,0.000224
0.020000,1.313593,3.353004,0.009147,0.365075,17.426288,920.508907,0.002121
0.020000,1.323329,3.353037,0.018883,0.486801,6.086317,-566.998579,0.004650
0.020000,1.335499,3.353113,0.031053,0.608529,6.086378,0.003081,0.007811
0.020000,1.350105,3.353255,0.045660,0.730327,6.089919,0.177013,0.011602
0.020000,1.367147,3.353490,0.062703,0.852173,6.092300,0.119071,0.016022
0.020000,1.386626,3.353852,0.082186,0.974134,6.098015,0.285728,0.021071
0.020000,1.408544,3.354376,0.104110,1.096197,6.103194,0.258947,0.026745
0.020000,1.432901,3.355104,0.128479,1.218440,6.112128,0.446701,0.033042
0.020000,1.459702,3.356083,0.155297,1.340906,6.123311,0.559179,0.039958
0.020000,1.488948,3.357362,0.184571,1.463693,6.139331,0.801000,0.047487
0.020000,1.520642,3.358998,0.216307,1.586805,6.155626,0.814729,0.055624
0.020000,1.554788,3.361049,0.250514,1.710390,6.179236,1.180520,0.064360
0.020000,1.591391,3.363580,0.287205,1.834510,6.205992,1.337776,0.073685
0.020000,1.630457,3.366658,0.326392,1.959356,6.242297,1.815285,0.083588
0.020000,1.671991,3.370357,0.368091,2.084954,6.279899,1.880096,0.094056
0.020000,1.716002,3.374754,0.412321,2.211508,6.327696,2.389831,0.105070
0.020000,1.762499,3.379930,0.459105,2.339194,6.384286,2.829528,0.116612
0.020000,1.811491,3.385969,0.508467,2.468128,6.446717,3.121514,0.128660
0.020000,1.862990,3.392960,0.560438,2.598553,6.521234,3.725870,0.141188
0.020000,1.917007,3.400997,0.615050,2.730595,6.602136,4.045078,0.154168
0.020000,1.973557,3.410174,0.672340,2.864504,6.695442,4.665325,0.167566
0.020000,2.032655,3.420592,0.732350,3.000471,6.798350,5.145393,0.181347
0.020000,2.094318,3.432350,0.795124,3.138705,6.911713,5.668144,0.195472
0.020000,2.158564,3.445555,0.860712,3.279411,7.035307,6.179692,0.209897
0.020000,2.225410,3.460312,0.929168,3.422800,7.169420,6.705642,0.224575
0.020000,2.294878,3.476728,1.000549,3.569056,7.312784,7.168220,0.239456
0.020000,2.366988,3.494911,1.074917,3.718372,7.465798,7.650683,0.254487
0.020000,2.441763,3.514970,1.152335,3.870912,7.627024,8.061314,0.269612
0.020000,2.519224,3.537014,1.232872,4.026830,7.795914,8.444513,0.284771
0.020000,2.599395,3.561147,1.316597,4.186249,7.970945,8.751521,0.299904
0.020000,2.682301,3.587474,1.403582,4.349284,8.151728,9.039184,0.314947
0.020000,2.767966,3.616096,1.493902,4.516011,8.336365,9.231849,0.329835
0.020000,2.856417,3.647109,1.587632,4.686491,8.524014,9.382427,0.344504
0.020000,2.947679,3.680605,1.684848,4.860760,8.713429,9.470756,0.358887
0.020000,3.041782,3.716669,1.785624,5.038832,8.903607,9.508905,0.372917
0.020000,3.138116,3.755119,1.889348,5.186198,7.368283,-76.766222,0.386441
0.020000,3.235425,3.795451,1.994684,5.266799,4.030057,-166.911269,0.399248
0.020000,3.333079,3.837352,2.100948,5.313194,2.319745,-85.515613,0.411244
0.020000,3.431086,3.880757,2.208137,5.359468,2.313717,-0.301402,0.422432
0.020000,3.529459,3.925599,2.316248,5.405535,2.303333,-0.519197,0.432815
0.020000,3.628208,3.971809,2.425275,5.451326,2.289585,-0.687384,0.442398
0.020000,3.727349,4.019317,2.535211,5.496805,2.273933,-0.782608,0.451188
0.020000,3.826899,4.068052,2.646049,5.541936,2.256567,-0.868302,0.459188
0.020000,3.926876,4.117943,2.757783,5.586705,2.238423,-0.907205,0.466407
0.020000,4.027301,4.168918,2.870406,5.631103,2.219924,-0.924943,0.472851
0.020000,4.128200,4.220903,2.983909,5.675155,2.202588,-0.866817,0.478525
0.020000,4.229597,4.273827,3.098286,5.718873,2.185873,-0.835758,0.483435
0.020000,4.331520,4.327614,3.213532,5.762280,2.170369,-0.775206,0.487587
0.020000,4.434002,4.382191,3.329640,5.805419,2.156957,-0.670568,0.490986
0.020000,4.537075,4.437483,3.446607,5.848330,2.145562,-0.569737,0.493635
0.020000,4.640773,4.493416,3.564428,5.891055,2.136243,-0.465973,0.495538
0.020000,4.745135,4.549913,3.683101,5.933646,2.129540,-0.335170,0.496697
0.020000,4.850200,4.606897,3.802624,5.976154,2.125406,-0.206686,0.497114
0.020000,4.956008,4.664291,3.922996,6.018631,2.123854,-0.077572,0.496789
0.020000,5.062605,4.722016,4.044219,6.061132,2.125048,0.059677,0.495721
0.020000,5.170033,4.779991,4.166293,6.103708,2.128797,0.187431,0.493909
0.020000,5.278341,4.838136,4.289221,6.146413,2.135266,0.323449,0.491352
0.020000,5.387575,4.896367,4.413007,6.189297,2.144172,0.445315,0.488045
0.020000,5.497786,4.954597,4.537655,6.232401,2.155197,0.551252,0.483986
0.020000,5.609022,5.012740,4.663171,6.275772,2.168538,0.667062,0.479169
0.020000,5.721336,5.070704,4.789560,6.319447,2.183766,0.761393,0.473589
0.020000,5.834777,5.128397,4.916829,6.363447,2.200013,0.812369,0.467240
0.020000,5.949398,5.185720,5.044985,6.407798,2.217565,0.877571,0.460117
0.020000,6.065249,5.242575,5.174035,6.452519,2.236014,0.922443,0.452212
0.020000,6.182381,5.298857,5.303987,6.497598,2.253960,0.897319,0.443520
0.020000,6.300842,5.354458,5.434848,6.543024,2.271320,0.867993,0.434035
0.020000,6.420679,5.409266,5.566623,6.588773,2.287427,0.805355,0.423750
0.020000,6.541936,5.463164,5.699319,6.634801,2.301404,0.698831,0.412661
0.020000,6.664654,5.516031,5.832940,6.681047,2.312306,0.545120,0.400764
0.020000,6.788869,5.567740,5.967488,6.727420,2.318651,0.317244,0.388058
0.020000,6.914612,5.618162,6.102965,6.773821,2.320029,0.068911,0.374540
0.020000,7.041910,5.667161,6.239367,6.820121,2.315006,-0.251158,0.360214
0.020000,7.170780,5.714598,6.376691,6.866168,2.302359,-0.632344,0.345083
0.020000,7.301232,5.760330,6.514926,6.911785,2.280835,-1.076221,0.329155
0.020000,7.433267,5.804210,6.654062,6.956767,2.249117,-1.585904,0.312442
0.020000,7.566875,5.846090,6.794079,7.000887,2.206002,-2.155727,0.294958
0.020000,7.702034,5.885819,6.934957,7.043896,2.150463,-2.776946,0.276722
0.020000,7.838713,5.923248,7.076668,7.085525,2.081427,-3.451813,0.257759
0.020000,7.976863,5.958226,7.219177,7.125487,1.998085,-4.167099,0.238098
0.020000,8.116426,5.990606,7.362447,7.163484,1.899885,-4.910019,0.217773
0.020000,8.257326,6.020246,7.506431,7.199193,1.785433,-5.722587,0.196824
0.020000,8.399475,6.047010,7.651078,7.232341,1.657428,-6.400247,0.175295
0.020000,8.542772,6.070768,7.796331,7.262634,1.514625,-7.140120,0.153238
0.020000,8.687099,6.091402,7.942126,7.289764,1.356496,-7.906480,0.130707
0.020000,8.832330,6.108804,8.088396,7.313502,1.186895,-8.480039,0.107761
0.020000,8.978326,6.122883,8.235069,7.333658,1.007788,-8.955331,0.084462
0.020000,9.124938,6.133559,8.382069,7.349994,0.816828,-9.548032,0.060879
0.020000,9.272010,6.140769,8.529318,7.362445,0.622547,-9.714030,0.037077
0.020000,9.419383,6.144471,8.676737,7.370940,0.424759,-9.889424,0.013128
0.020000,9.548912,6.145000,8.806267,6.476514,-44.721300,-2257.302916,0.000000
0.020000,9.668912,6.145000,8.926267,6.000000,-23.825710,1044.779483,0.000000
0.020000,9.788912,6.145000,9.046267,6.000000,0.000000,1191.285496,0.000000
0.020000,9.908912,6.145000,9.166267,6.000000,0.000000,0.000000,0.000000
0.020000,10.028912,6.145000,9.286267,6.000000,0.000000,0.000000,0.000000
0.020000,10.148912,6.145000,9.406267,6.000000,0.000000,0.000000,0.000000
0.020000,10.268912,6.145000,9.526267,6.000000,-0.000000,-0.000000,0.000000
0.020000,10.388912,6.145000,9.646267,6.000000,0.000000,0.000000,0.000000
0.020000,10.508912,6.145000,9.766267,6.000000,0.000000,-0.000000,0.000000
0.020000,10.628912,6.145000,9.886267,6.000000,0.000000,0.000000,0.000000
0.020000,10.748912,6.145000,10.006267,6.000000,0.000000,0.000000,0.000000
0.020000,10.868912,6.145000,10.126267,6.000000,0.000000,0.000000,0.000000
0.020000,10.988912,6.145000,10.246267,6.000000,0.000000,0.000000,0.000000
0.020000,11.108912,6.145000,10.366267,6.000000,0.000000,0.000000,0.000000
0.020000,11.228912,6.145000,10.486267,6.000000,0.000000,0.000000,0.000000
0.020000,11.348912,6.145000,10.606267,6.000000,0.000000,0.000000,0.000000
0.020000,11.468912,6.145000,10.726267,6.000000,0.000000,0.000000,0.000000
0.020000,11.588912,6.145000,10.846267,6.000000,0.000000,0.000000,0.000000
0.020000,11.708912,6.145000,10.966267,6.000000,0.000000,0.000000,0.000000
0.020000,11.828912,6.145000,11.086267,6.000000,0.000000,0.000000,0.000000
0.020000,11.948912,6.145000,11.206267,6.000000,0.000000,0.000000,0.000000
0.020000,12.068912,6.145000,11.326267,6.000000,0.000000,0.000000,0.000000
0.020000,12.188912,6.145000,11.446267,6.000000,0.000000,0.000000,0.000000
0.020000,12.308912,6.145000,11.566267,6.000000,0.000000,0.000000,0.000000
0.020000,12.428912,6.145000,11.686267,6.000000,0.000000,0.000000,0.000000
0.020000,12.548912,6.145000,11.806267,6.000000,0.000000,0.000000,0.000000
0.020000,12.668912,6.145000,11.926267,6.000000,0.000000,0.000000,0.000000
0.020000,12.788912,6.145000,12.046267,6.000000,-0.000000,-0.000000,0.000000
0.020000,12.908912,6.145000,12.166267,6.000000,0.000000,0.000000,0.000000
0.020000,13.028912,6.145000,12.286267,6.000000,-0.000000,-0.000000,0.000000
0.020000,13.148912,6.145000,12.406267,6.000000,0.000000,0.000000,0.000000
0.020000,13.268912,6.145000,12.526267,6.000000,0.000000,-0.000000,0.000000
0.020000,13.388912,6.145000,12.646267,6.000000,0.000000,0.000000,0.000000
0.020000,13.508912,6.145000,12.766267,6.000000,0.000000,0.000000,0.000000
0.020000,13.628912,6.145000,12.886267,6.000000,0.000000,0.000000,0.000000
0.020000,13.748912,6.145000,13.006267,6.000000,0.000000,0.000000,0.000000
0.020000,13.868912,6.145000,13.126267,6.000000,0.000000,0.000000,0.000000
0.020000,13.988912,6.145000,13.246267,6.000000,0.000000,0.000000,0.000000
0.020000,14.108912,6.145000,13.366267,6.000000,-0.000000,-0.000000,0.000000
0.020000,14.228912,6.145000,13.486267,6.000000,0.000000,0.000000,0.000000
0.020000,14.348912,6.145000,13.606267,6.000000,-0.000000,-0.000000,0.000000
0.020000,14.468912,6.145000,13.726267,6.000000,0.000000,0.000000,0.000000
0.020000,14.588912,6.145000,13.846267,6.000000,-0.000000,-0.000000,0.000000
0.020000,14.708912,6.145000,13.966267,6.000000,-0.000000,0.000000,0.000000
0.020000,14.828912,6.145000,14.086267,6.000000,0.000000,0.000000,0.000000
0.020000,14.948912,6.145000,14.206267,6.000000,0.000000,0.000000,0.000000
0.020000,15.059414,6.145132,14.316769,5.525094,-23.745278,-1187.263882,0.004411
0.020000,15.170606,6.146057,14.427965,5.559813,1.735922,1274.059991,0.012100
0.020000,15.282569,6.147811,14.539941,5.598817,1.950214,10.714579,0.019107
0.020000,15.395297,6.150329,14.652698,5.637839,1.951074,0.043008,0.025433
0.020000,15.508789,6.153543,14.766235,5.676849,1.950535,-0.026963,0.031078
0.020000,15.623041,6.157385,14.880552,5.715829,1.949000,-0.076712,0.036041
0.020000,15.738052,6.161786,14.995647,5.754766,1.946832,-0.108437,0.040325
0.020000,15.853822,6.166673,15.111520,5.793653,1.944344,-0.124363,0.043929
0.020000,15.970351,6.171972,15.228170,5.832489,1.941810,-0.126719,0.046855
