dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.744231,16.164866,0.000789,0.078947,3.947368,197.368421,6.283109
0.020000,5.745619,16.164866,0.002177,0.069395,-0.477617,-221.249273,0.000049
0.020000,5.752221,16.164867,0.008779,0.330072,13.033843,675.572993,0.000299
0.020000,5.762120,16.164872,0.018678,0.494983,8.245537,-239.415273,0.000671
0.020000,5.775315,16.164884,0.031873,0.659743,8.238020,-0.375846,0.001163
0.020000,5.791801,16.164908,0.048359,0.824303,8.228002,-0.500913,0.001771
0.020000,5.811573,16.164950,0.068132,0.988612,8.215469,-0.626670,0.002492
0.020000,5.834626,16.165017,0.091184,1.152621,8.200427,-0.752073,0.003319
0.020000,5.860951,16.165117,0.117510,1.316279,8.182875,-0.877617,0.004247
0.020000,5.890541,16.165258,0.147100,1.479535,8.162801,-1.003674,0.005268
0.020000,5.923388,16.165449,0.179947,1.642339,8.140217,-1.129233,0.006375
0.020000,5.959480,16.165701,0.216040,1.804641,8.115109,-1.255398,0.007560
0.020000,5.998806,16.166023,0.255368,1.966391,8.087483,-1.381297,0.008811
0.020000,6.041355,16.166426,0.297918,2.127537,8.057335,-1.507382,0.010120
0.020000,6.087113,16.166920,0.343679,2.288031,8.024666,-1.633455,0.011473
0.020000,6.136066,16.167516,0.392635,2.447820,7.989478,-1.759415,0.012860
0.020000,6.188198,16.168223,0.444773,2.606856,7.951768,-1.885519,0.014267
0.020000,6.243493,16.169052,0.500074,2.765086,7.911541,-2.011321,0.015680
0.020000,6.301935,16.170010,0.558524,2.922462,7.868798,-2.137133,0.017083
0.020000,6.363504,16.171105,0.620102,3.078933,7.823542,-2.262798,0.018462
0.020000,6.428181,16.172343,0.684791,3.234449,7.775776,-2.388314,0.019799
0.020000,6.495946,16.173729,0.752570,3.388959,7.725502,-2.513703,0.021078
0.020000,6.566778,16.175265,0.823419,3.542413,7.672723,-2.638980,0.022278
0.020000,6.640654,16.176953,0.897314,3.694762,7.617439,-2.764183,0.023382
0.020000,6.717551,16.178790,0.974233,3.845955,7.559653,-2.889317,0.024368
0.020000,6.797445,16.180773,1.054152,3.995942,7.499362,-3.014504,0.025217
0.020000,6.880311,16.182893,1.137045,4.144674,7.436567,-3.139767,0.025905
0.020000,6.966124,16.185139,1.222887,4.292099,7.371264,-3.265154,0.026411
0.020000,7.054856,16.187498,1.311651,4.438168,7.303447,-3.390830,0.026710
0.020000,7.146480,16.189951,1.403307,4.582830,7.233113,-3.516712,0.026777
0.020000,7.240967,16.192475,1.497828,4.726035,7.160254,-3.642944,0.026589
0.020000,7.338287,16.195043,1.595183,4.867733,7.084866,-3.769441,0.026117
0.020000,7.438412,16.197621,1.695340,5.007871,7.006943,-3.896118,0.025335
0.020000,7.541308,16.200174,1.798268,5.146401,6.926487,-4.022829,0.024215
0.020000,7.646944,16.202657,1.903934,5.283271,6.843503,-4.149191,0.022728
0.020000,7.755287,16.205021,2.012302,5.418431,6.758007,-4.274793,0.020843
0.020000,7.866302,16.207210,2.123339,5.551832,6.670030,-4.398854,0.018531
0.020000,7.979954,16.209163,2.237007,5.683424,6.579621,-4.520438,0.015759
