dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.303513,1.062997,0.000789,0.078947,3.947368,197.368421,6.281511
0.020000,1.304237,1.062996,0.001514,0.036227,-2.136015,-304.169159,6.282144
0.020000,1.306804,1.062996,0.004080,0.128311,4.604197,337.010583,0.000224
0.020000,1.318450,1.063010,0.015726,0.582300,22.699450,904.762661,0.002121
0.020000,1.333977,1.063062,0.031254,0.776388,9.704378,-649.753591,0.004650
0.020000,1.353385,1.063183,0.050662,0.970402,9.700731,-0.182375,0.007811
0.020000,1.376672,1.063409,0.073950,1.164415,9.700637,-0.004706,0.011602
0.020000,1.403836,1.063784,0.101117,1.358335,9.695992,-0.232253,0.016022
0.020000,1.434875,1.064360,0.132161,1.552197,9.693104,-0.144359,0.021071
0.020000,1.469783,1.065195,0.167079,1.745893,9.684813,-0.414588,0.026745
0.020000,1.508554,1.066354,0.205867,1.939429,9.676816,-0.399828,0.033042
0.020000,1.551180,1.067911,0.248522,2.132738,9.665439,-0.568855,0.039958
0.020000,1.597652,1.069944,0.295038,2.325806,9.653387,-0.602604,0.047487
0.020000,1.647954,1.072540,0.345407,2.518444,9.631882,-1.075228,0.055624
0.020000,1.702069,1.075790,0.399620,2.710653,9.610482,-1.070034,0.064360
0.020000,1.759977,1.079794,0.457666,2.902270,9.580841,-1.482023,0.073685
0.020000,1.821651,1.084654,0.519532,3.093296,9.551313,-1.476398,0.083588
0.020000,1.887061,1.090479,0.585200,3.283437,9.507036,-2.213847,0.094056
0.020000,1.956170,1.097383,0.654653,3.472642,9.460271,-2.338258,0.105070
0.020000,2.028936,1.105482,0.727869,3.660783,9.407015,-2.662810,0.116612
0.020000,2.105310,1.114896,0.804821,3.847603,9.340993,-3.301100,0.128660
0.020000,2.185238,1.125747,0.885481,4.033012,9.270474,-3.525945,0.141188
0.020000,2.268654,1.138157,0.969815,4.216718,9.185286,-4.259429,0.154168
0.020000,2.355490,1.152249,1.057787,4.398593,9.093768,-4.575878,0.167566
0.020000,2.445668,1.168144,1.149356,4.578411,8.990866,-5.145080,0.181347
0.020000,2.539103,1.185961,1.244475,4.755962,8.877588,-5.663931,0.195472
0.020000,2.635705,1.205815,1.343096,4.931036,8.753694,-6.194697,0.209897
0.020000,2.735374,1.227816,1.445164,5.103439,8.620161,-6.676643,0.224575
0.020000,2.838007,1.252068,1.550624,5.272961,8.476092,-7.203450,0.239456
0.020000,2.943494,1.278666,1.659412,5.439432,8.323535,-7.627855,0.254487
0.020000,3.051721,1.307698,1.771466,5.602677,8.162235,-8.065009,0.269612
0.020000,3.162572,1.339241,1.886717,5.762549,7.993640,-8.429734,0.284771
0.020000,3.275926,1.373361,2.005095,5.918912,7.818106,-8.776693,0.299904
0.020000,3.391665,1.410112,2.126528,6.071668,7.637846,-9.013027,0.314947
0.020000,3.509668,1.449537,2.250943,6.220729,7.453051,-9.239714,0.329835
0.020000,3.629818,1.491662,2.378264,6.366038,7.265447,-9.380191,0.344504
0.020000,3.752000,1.536504,2.508415,6.507560,7.076097,-9.467534,0.358887
0.020000,3.876105,1.584064,2.641321,6.645284,6.886193,-9.495188,0.372917
0.020000,4.001205,1.633992,2.776016,6.734759,4.473753,-120.621998,0.386441
0.020000,4.125606,1.685551,2.910678,6.733117,-0.082125,-227.793918,0.399248
0.020000,4.248506,1.738283,3.044413,6.686734,-2.319144,-111.850957,0.411244
0.020000,4.369940,1.792061,3.177222,6.640472,-2.313108,0.301800,0.422432
0.020000,4.489949,1.846763,3.309110,6.594414,-2.302897,0.510567,0.432815
0.020000,4.608576,1.902273,3.440083,6.548623,-2.289558,0.666957,0.442398
0.020000,4.725868,1.958477,3.570146,6.503155,-2.273393,0.808225,0.451188
0.020000,4.841874,2.015267,3.699307,6.458034,-2.256031,0.868110,0.459188
0.020000,4.956644,2.072539,3.827572,6.413274,-2.237984,0.902342,0.466407
0.020000,5.070227,2.130191,3.954950,6.368871,-2.220173,0.890583,0.472851
0.020000,5.182676,2.188127,4.081446,6.324829,-2.202104,0.903436,0.478525
0.020000,5.294042,2.246253,4.207069,6.281120,-2.185456,0.832416,0.483435
0.020000,5.404376,2.304477,4.331823,6.237711,-2.170434,0.751061,0.487587
0.020000,5.513728,2.362713,4.455714,6.194575,-2.156814,0.681037,0.490986
0.020000,5.622146,2.420873,4.578748,6.151669,-2.145286,0.576389,0.493635
