dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.247238,3.430892,0.000789,0.078947,3.947368,197.368421,6.281923
0.020000,2.246806,3.430892,0.001221,0.021594,-2.867688,-340.752835,6.282300
0.020000,2.245943,3.430893,0.002085,0.043180,1.079304,197.349624,6.283055
0.020000,2.253027,3.430896,0.009170,0.354245,15.553275,723.698552,0.001001
0.020000,2.263932,3.430915,0.020074,0.545212,9.548353,-300.246133,0.002509
0.020000,2.277562,3.430962,0.033704,0.681521,6.815417,-136.646776,0.004395
0.020000,2.293917,3.431053,0.050060,0.817786,6.813265,-0.107595,0.006658
0.020000,2.312999,3.431205,0.069142,0.954086,6.814997,0.086581,0.009299
0.020000,2.334804,3.431441,0.090949,1.090358,6.813590,-0.070359,0.012317
0.020000,2.359335,3.431785,0.115482,1.226661,6.815156,0.078323,0.015713
0.020000,2.386590,3.432264,0.142741,1.362934,6.813673,-0.074177,0.019486
0.020000,2.416568,3.432911,0.172726,1.499242,6.815409,0.086836,0.023636
0.020000,2.449268,3.433758,0.205437,1.635562,6.815972,0.028143,0.028163
0.020000,2.484691,3.434843,0.240877,1.771972,6.820522,0.227514,0.033066
0.020000,2.522834,3.436205,0.279044,1.908393,6.821034,0.025589,0.038343
0.020000,2.563698,3.437888,0.319942,2.044903,6.825518,0.224205,0.043994
0.020000,2.607280,3.439938,0.363573,2.181521,6.830901,0.269159,0.050016
0.020000,2.653579,3.442404,0.409938,2.318256,6.836724,0.291122,0.056408
0.020000,2.702595,3.445339,0.459042,2.455183,6.846357,0.481680,0.063167
0.020000,2.754326,3.448796,0.510887,2.592282,6.854976,0.430931,0.070288
0.020000,2.808768,3.452833,0.565479,2.729600,6.865859,0.544122,0.077769
0.020000,2.865921,3.457513,0.622824,2.867213,6.880681,0.741109,0.085605
0.020000,2.925782,3.462897,0.682927,3.005151,6.896880,0.809960,0.093788
0.020000,2.988350,3.469051,0.745796,3.143455,6.915202,0.916120,0.102314
0.020000,3.053620,3.476045,0.811440,3.282206,6.937578,1.118776,0.111175
0.020000,3.121591,3.483950,0.879869,3.421468,6.963082,1.275210,0.120361
0.020000,3.192260,3.492838,0.951094,3.561262,6.989704,1.331078,0.129862
0.020000,3.265623,3.502786,1.025129,3.701726,7.023188,1.674242,0.139669
0.020000,3.341677,3.513870,1.101986,3.842871,7.057235,1.702343,0.149768
0.020000,3.420418,3.526171,1.181683,3.984828,7.097860,2.031226,0.160145
0.020000,3.501843,3.539769,1.264235,4.127627,7.139967,2.105337,0.170786
0.020000,3.585948,3.554747,1.349664,4.271405,7.188885,2.445935,0.181673
0.020000,3.672728,3.571189,1.437988,4.416209,7.240218,2.566648,0.192790
0.020000,3.762180,3.589179,1.529230,4.562126,7.295855,2.781831,0.204115
0.020000,3.854298,3.608802,1.623416,4.709263,7.356833,3.048910,0.215628
0.020000,3.949079,3.630145,1.720569,4.857691,7.421400,3.228343,0.227307
0.020000,4.046517,3.653292,1.820719,5.007493,7.490118,3.435919,0.239126
0.020000,4.146608,3.678329,1.923894,5.158756,7.563145,3.651340,0.251062
0.020000,4.248672,3.705159,2.029426,5.276566,5.890494,-83.632572,0.263008
0.020000,4.351354,3.733458,2.135936,5.325522,2.447783,-172.135551,0.274789
0.020000,4.453979,3.763032,2.242737,5.340058,0.726808,-86.048735,0.286316
0.020000,4.556547,3.793861,2.349838,5.355040,0.749081,1.113640,0.297581
0.020000,4.659059,3.825920,2.457246,5.370408,0.768396,0.965761,0.308578
0.020000,4.761516,3.859189,2.564969,5.386136,0.786442,0.902294,0.319300
0.020000,4.863919,3.893641,2.673013,5.402193,0.802823,0.819065,0.329742
0.020000,4.966271,3.929255,2.781383,5.418526,0.816670,0.692352,0.339898
0.020000,5.068573,3.966003,2.890086,5.435112,0.829271,0.630024,0.349765
